Poecilopora	MacGillivray 1886	Gistl 1848
Porella	Gray 1848	L., 1753
Porella	Gray 1848	Linnaeus, 1753
Poricellaria	d'Orbigny 1854	d'Orbigny 1851
Porina	d'Orbigny 1852	Ach. 1809
Porina	d'Orbigny 1852	Acharius, 1809
Posterula	Jullien 1903	Jullien & Calvet 1903
Posterula	Jullien 1903	Jullien in Jullien & Calvet 1903
Pseudolepralia	Silén 1942	Silen 1942
Pseudolunularia	Cadée, Chimonides & Cook 1989	Cadee, Chimonides & Cook 1989
Pseudolunulites	Cook & Voigt 1989	Cook & Voigt 1986
Pterocella	Levinsen 1909	Fischer 1884
Puellina	Canu & Bassler 1929	Jullien, 1886
Pyriflustrina	d'Orbigny 1853	d'Orbigny 1852
Pyripora	d'Orbigny 1852	d'Orbigny 1849
Quadricellaria	d'Orbigny 1851	D'Orbigny, 1851
Quadricellaria	d'Orbigny 1851	Sars [non d'Orbigny 1851] 1862
Radulopora	Voigt  1968	Voigt 1968
Ragionula	Canu & Bassler 1927	Canu & Lecointre 1925
Ramicosticella	Voigt & Gordon 1997	Voigt & Gordon 1998
Reptescharella	d'Orbigny 1853	d'Orbigny 1852
Reptescharipora	d'Orbigny 1853	d'Orbigny 1852
Reptoflustrella	d'Orbigny 1853	d'Orbigny 1852
Reptoporella	d'Orbigny 1853	d'Orbigny 1852
Retelepralia	Gordon & Arnold 1997	Gordon & Arnold 1998
Reussia	Neviani 1895	Endlicher, 1836
Rhabdopora	Lang 1916	Milne-Edwards & Haime 1849
Rhamphostomella	von Lorenz 1886	Lorenz, 1886
Rhamphostomella	von Lorenz 1886	van Lorenz 1886
Rhamphostomella	von Lorenz 1886	Van Lorenz, 1886
Rhebasia	Jullien 1882	Jullien [1882]
Rhynchozoon	Hincks 1895	Hincks 1891
Rimulostoma	Vigneaux 1949	Vigneaux 1940
Rogicka	Uttley & Bullivant 1972	Uttley and Bullivant, 1972
Sarsiflustra	Jullien 1903	Jullien & Calvet 1903
Sarsiflustra	Jullien 1903	Jullien and Calvet, 1903
Schedocleidochasma	Soule, Soule & Chaney 1991	Soule et al., 1991
Schizemiellopsis	Voigt  1987	Voigt 1987
Schizolepralia	Zágoršek 2001	Zagorsek 2001
Schizomavella	Canu & Bassler 1917	Canu and Bassler, 1917
Schizosmittina	Vigneaux 1949	Vigneaux 1940
Schizotheca	Hincks 1877	Ehrenberg, 1834
Schizotremopora	Vigneaux 1949	Vigneaux 1940
Sclerodomus	d'Hondt & Schopf 1984	(Sclerodomus) Levinsen 1909
Sclerodomus	d'Hondt & Schopf 1984	Levinsen 1909
Scrupocellaria	d'Hondt 1988	Lamouroux 1816
Scrupocellarinella	d'Hondt & Schopf 1984	d'Hondt & Schope 1985
Securiflustra	Silén 1941	Silen, 1941
Securiflustra	Silén 1941	Sil�n 1941
Semidendrobeania	d'Hondt & Schopf 1984	d'Hondt & Schope 1985
Semiescharipora	d'Orbigny 1853	d'Orbigny 1852
Semiflustrella	d'Orbigny 1853	d'Orbigny 1852
Semiflustrina	d'Orbigny 1853	d'Orbigny 1852
Semihaswellia	Canu & Bassler 1917	Canu and Bassler, 1917
Semikinetoskias	Silén 1941	Silen 1942
Bryocryptella	Cossman 1906	Cossmann 1906
Smittinella	Canu & Bassler 1934	Bassler 1934
Smittipora	Jullien 1882	Jullien 1881
Sphaeropora	Haswell 1881	Haswell 1880
Sphenella	Duvergier 1924	Robineau-Desvoidy, 1830
Staurosteginopora	Voigt  1991	Voigt 1991
Steginopora	d'Orbigny 1853	d'Orbigny 1852
Stenosipora	Canu & Bassler 1927	Canu & Lecointre 1925
Stephanollona	Vigneaux 1949	Duvergier, 1920
Stephanotrema	Vigneaux 1949	Vigneaux 1940
Stichomicropora	Voigt  1949	Voigt 1939
Stichopora	von Hagenow 1846	Hagenow 1846
Stichoporina	Stolickza 1862	Stoliczka 1862
Stomachetosella	Canu & Bassler 1917	Canu and Bassler, 1917
Stomhypselosaria	Canu & Bassler 1927	Canu and Bassler, 1927
Strophiella	Jullien in Jullien & Calvet 1903	Jullien & Calvet 1903
Swanomia	Hayward & Thorpe 1989	Hayward & Thorpe 1988
Systenopora	Waters 1904	Waters 1903
Taeniocellaria	Voigt  1966	Voigt 1966
Taenioporella	Voigt  1987	Voigt 1987
Tegminula	Audouin  1882	Jullien 1882
Teichopora	Reuss 1893	Gregory, 1893
Tendra	Nordman 1839	Nordmann, 1839
Terataulopocella	Rosso 2002	Rosso 2003
Terminoflustra	Silén 1942	Silen 1941
Thrypticocirrus	Canu & Bassler 1988	Hayward & Thorpe 1988
Thyracella	Voigt  1930	Voigt 1930
Tornipora	Jürgensen 1971	Jorgensen 1971
Tornipora	Jürgensen 1971	Jurgensen 1971
Torquatella	Tilbrook, Hayward & Gordon 2001	Held 1837
Tracheloptyx	Hayward 1993	Haywa 1993
Tremocoscinopleura	Voigt  1956	Voigt 1956
Tremogasterina	MacGillivray 1911	Canu, 1911
Tremopora	Ortmann 1890	Ortmann 1889
Tremoschizodina	Duvergier 1921	Duvergier 1920
Treptopora	Voigt  1967	Voigt 1967
Tricellaria	Lamouroux 1828	Fleming, 1828
Trilaminopora	Moyano 1970	Moyano G. 1970
Triporula	Canu & Bassler 1927	Canu & Lecointre 1925
Trochosodon	Canu & Bassler 1927	Canu & Lecointre 1925
Trypostega	Johnston 1909	Levinsen 1902
Tshokrakopora	Weiss 1988	Bejs 1988
Turbicellepora	Ryland 1963	Rylund 1963
Tychinella	Zágoršek 2001	Zagorsek 2001
Tylopora	Lang 1917	Brook, 1893
Tyloporella	Busk 1989	Voigt 1989
Metrarabdotos	Cheetham 1968	Canu, 1914
Unifissurinella	Busk 1991	Poignant 1991
Urceolipora	Gordon 2000	MacGillivray 1881
Uschakovia	Canu & Bassler 1946	Kluge, 1946
Valdemunitella	Reuss 1900	Canu 1900
Vavropora	Zágoršek 2001	Zagorsek 2001
Veleroa	Osburn 1952	Dawson 1944
Vibracellina	Canu & Bassler 1917	Canu and Bassler, 1917
Vicariopora	Zágoršek 2001	Zagorsek 2001
Vitrius	Parker & Gordon 1992	Park & Gord 1992
Xylochotridens	Milne Edwards 1989	Hayward & Thorpe, 1989
Zuzanella	Zágoršek 2001	Zagorsek 2001
Halophila	Gray 1843	L. M. A. A. Du Petit-Thouars, 1806
Parmularia	MacGillivray 1887	J. H. L�veill�, 1846
Parmularia	MacGillivray 1887	L�v. 1846
Parmularia	MacGillivray 1887	L�veill� 1846
Amphimarssoniella	O'Donoghue & de Watteville 1974	Voigt 1974
Anguisia	Hayward & Ryland 1882	Jullien 1882
Apsendesia	Gordon 1821	Lamouroux 1821
Attinopora	Thornely 1992	Boardman, McKinney & Taylor 1992
Bathysoecia	Hincks 1953	Osburn 1953
Bicavea	MacGillivray 1853	d'Orbigny 1852[3]
Bicoronipora	Gordon 1987	Walter 1987
Bicrisia	Hutton 1853	d'Orbigny 1853
Bicrisia	Hutton 1853	D'orbigny, 1853
Bicrisina	d'Orbigny 1853	d'Orbigny 1852[3]
Bientalophora	Waters 1944	Borg 1944
Biflabellaria	O'Donoghue & de Watteville 1894	Pergens 1894
Biidmonea	Calvet 1903	Jullien & Calvet 1903
Bimulticavea	Silen 1853	d'Orbigny 1852[3]
Biovicella	MacGillivray 1970	Mongereau 1970
Blumenbachium	Koenig 1825	K�nig 1825
Borgella	Fabricius 1952	Kluge, 1955
Borgiola	Unknown 1933	Strand 1933
Braiesopora	d'Orbigny 1985	Bizzarini & Braga 1985
Bueltenopora	Kluge 1997	Hillmer, Voigt & Scholz 1997
Buglovella	Maplestone 1975	Ponomareva 1975
Actinopora	O'Donoghue & O'Donoghue 1853	d'Orbigny 1853
Canalipora	v. Hagenow [1851]	von Hagenow 1851
Castellia	Viskova 2004	Tineo, 1846
Cava	Busk 1854	d'Orbigny 1854
Cavaria	Waters 1851	v. Hagenow [1851]
Cavaria	Waters 1851	von Hagenow 1851
Cellulipora	Busk 1849	d'Orbigny 1849
Centronea	Busk 1920	Canu & Bassler 1920
Ceriocava	Lamouroux 1854	d'Orbigny 1854
Cerioporella	Goldstein 1925	Levinsen 1925
Chaotianopora	Pallas 1997	Jin 1997
Chaotianopora	Pallas 1997	Jin in Jin, Wan & Chen 1997
Clavicava	O'Donoghue 1854	d'Orbigny 1854
Clavisparsa	Rao & Ganapati 1853	d'Orbigny 1853
Clinopora	Harmer 1887	Marsson 1887
Clypeina	(Michelin 1845) Bassoullet et al. 1978	(Michelin 1845) Bassoullet et al.
Clypeina	(Michelin 1845) Bassoullet et al. 1978	J. L. H. Michelin, 1845
Clypeina	(Michelin 1845) Bassoullet et al. 1978	Michelin 1845
Coelocochlea	von Hagenow 1851	Hagenow 1851
Conocavea	Harmer 1911	Calvet 1911
Constrictopora	Busk 1997	Hillmer, Voigt & Scholz 1997
Coronopora	Gordon 1848	Gray 1848
Coronopora	Gordon 1848	J. E. Gray, 1848
Corymbopora	Lang 1916	Michelin (1846)
Corynotrypa	Gordon 1911	Bassler 1911
Corynotrypoides	Busk 1994	Bizzarini & Braga 1994
Coscinoecia	Gordon 1934	Canu & Lecointre 1934
Crassodiscopora	Gordon 1972	Brood 1972
Crisevia	Busk 1937	Marcus 1937
Crisia	Lamouroux, 1812	Lamonroux 1812
Crisidia	Milne Edwards 1838	Milne-Edwards, 1838
Crisina	d'Orbigny 1853	d'Orbigny 1850
Crisina	d'Orbigny 1853	d'Orbigny [Nov.] 1850
Crisina	d'Orbigny 1853	van Beneden [1850]
Crisiona	Canu & Bassler 1928	Canu & Bassler 1927
Cryptoglena	Busk 1887	Ehrenberg 1831
Cryptoglena	Busk 1887	Ehrenberg,1831/1832
Cylindropora	Audouin  1880	Eichwald 1829
Cyrtopora	Gantes & Balavoine 1851	Hagenow 1851
Cyrtopora	Gantes & Balavoine 1851	von Hagenow 1851
Decurrella	Audouin  1967	Mongereau & Braga 1967
Dendroecia	Bosc 1965	Arthur, 1906
Dendroecia	Bosc 1965	J. C. Arthur, 1906
Dentalitrypa	Maplestone 1962	Kiepura 1962
Desmatelesia	Tenison-Woods 1933	Canu & Lecointre 1933
Desmediaperoecia	Maplestone 1920	Canu & Bassler 1920
Diploclema	Ulrich 1889	Miller 1889
Diplosolen	Busk 1918	Canu, 1918
Discocavea	Lu 1853	d'Orbigny 1852 [3]
Discosparsa	Busk 1853	d'Orbigny 1852 [3]
Discotruncatulipora	Busk 1975	Flor 1975
Discotubigera	Harmer 1853	d'Orbigny 1853
Ditaxia	von Hagenow 1851	Hagenow [1851]
Doliocoitis	Powell 1977	Buge & Tillier 1977
Domopora	Gordon 1849	d'Orbigny 1849
Elea	d'Orbigny 1853	Fitzinger, 1833
Entalophoroecia	Harmelin 1976	Harmelin, 1974
Eurystrotos	Busk 1985	Hayward & Ryland, 1985
Exidmonea	Waters 1972	Mongereau 1969
Fasciculipora	Goldstein 1847	d'Orbigny 1846
Fasciculipora	Goldstein 1847	d'Orbigny 1846 (? pls. 1839)
Favosipora	Nichols 1885	Lankester 1885
Favosipora	Nichols 1885	MacGillivray 1885
Fenestulipora	Hastings 1997	Taylor & Gordon 1997
Filicava	Waters 1854	d'Orbigny 1854
Filicea	Hincks 1854	d'Orbigny 1854
Filicrisia	Tilbrook, Hayward & Gordon 1853	D''Orbigny, 1853
Filicrisia	Tilbrook, Hayward & Gordon 1853	d'Orbigny 1853
Filicrisia	Tilbrook, Hayward & Gordon 1853	D'orbigny, 1853
Filicrisina	Gordon 1853	d'Orbigny 1852 [53]
Filicrisina	Gordon 1853	d'Orbigny 1852-3
Filifascigera	Hastings 1853	d'Orbigny 1853
Filisparsa	d'Orbigny 1852 [53]	d'Orbigny 1852
Filisparsa	d'Orbigny 1852 [53]	d'Orbigny 1852-3
Flosculipora	Hincks 1887	MacGillivray 1886
Foricula	Hayward & Cook 1853	d'Orbigny 1853
Fungella	v. Hagenow [1851]	Hagenow, 1851
Fungella	v. Hagenow [1851]	von Hagenow 1851
Goryunovia	Cook & Bock 1996	Taylor & Rozhnov 1996
Hemiseptopora	d'Hondt & Gordon 1993	Voigt 1993
Heteropora	de Blainville 1830	Blainville 1830
Homoeosolen	Busk 1850	Lonsdale 1850
Hornera	Lamouroux 1821	Necker ex A. L. Jussieu, 1821
Hornera	Lamouroux 1821	Necker ex A.L. Jussieu in F. Cuvier 1821
Hypocytis	Waters 1890	Ortmann 1889
Idmidronea	Canu & Bassler 1920	Canu and Bassler, 1920
Idmonea	Waters 1821	Lamouroux, 1821
Idmonella	Hincks 1925	Levinsen 1925
Idmoneoides	Busk 1955	Kluge, 1955
Lagenosypho	Smitt 1898	Spandel 1898
Laterocea	Powell 1854	d'Orbigny 1854
Leiosoecia	Gordon 1920	Canu & Bassler 1920
Leptopora	Hayward 1849	Raf. 1808
Leptopora	Hayward 1849	Rafinesque 1808
Liripora	Hayward 1887	Mac Gillivray, 1887
Lobosoecia	Gordon 1922	Canu & Bassler 1922
Marssoniella	Levinsen 1925	E. Lemmermann, 1900
Marssoniella	Levinsen 1925	Lemmermann, 1900
Meliceritella	Kluge 1925	Levinsen 1925
Mesenteripora	Hincks 1830	Blainville 1830
Mesenteripora	Hincks 1830	de Blainville 1830
Mesonea	Hasenbank 1920	Canu & Bassler 1920
Metastomatopora	Kluge 1991	Moyano 1984
Microecia	Canu 1918	Canu [1918]
Microeciella	Taylor & Sequeiros 1982	Taylor & Sequeiros 1981
Mitoclema	Smitt 1882	Ulrich 1882
Mitoclemina	van Beneden 1990	Nekhorosheva 1990
Multicavea	Kluge 1853	d'Orbigny 1852[3]
Multicrescis	Kluge 1854	d'Orbigny 1854
Multisparsa	Norman 1853	d'Orbigny 1852[3]
Nematifera	Robertson 1922	Canu & Bassler 1922
Neofungella	Marcus 1933	Borg 1933
Nevianipora	Marcus 1944	Borg 1944
Oncousoecia	Canu 1918	Reuss 1869
Pachyteichopora	Hastings 1978	Voigt 1978
Paracrescis	Robertson 1990	Pitt & Taylor 1990
Paratretocycloecia	Hayward 1951	Buge & Balavoine 1951
Lichenopora	Gordon & d'Hondt 1823	(Defrance 1823)
Partretocycloecia	Canu 1919	Canu & Bassler 1920
Patinella	Harmer 1848	Gray 1848
Pergensella	Dalyell 1899	Gregory 1899
Peristomatopora	Moyano 1991	Moyano 1984
Petalopora	Lamouroux 1850	Lonsdale 1850
Phormopora	Kluge 1887	Marsson 1887
Plethopora	von Hagenow 1851	Hagenow 1851
Pseudoceriopora	Kluge 1972	Brood 1972
Pseudotervia	Brood 1972	Brood 1968
Psilosolen	Hasenbank 1922	Canu & Bassler 1922
Pustulopora	Kluge 1830	Blainville 1830
Pustulopora	Kluge 1830	de Blainville 1830
Pyricavea	Kluge 1853	d'Orbigny 1852[3]
Radicipora	Harmer 1881	Quenstedt 1879
Radiocavaria	Robertson 1881	Hamm 1881
Radiopora	Kluge 1849	d'Orbigny 1849
Ramia	van Beneden 1930	Gregorio 1930
Ramofilisparsa	Osburn 1989	Voigt 1989
Reptoclausa	O'Donoghue 1853	d'Orbigny 1852[3]
Reptofascigera	van Beneden 1853	d'Orbigny 1853
Reptomultelea	Smitt 1853	d'Orbigny 1853
Reptomulticava	Kluge 1854	d'Orbigny 1853
Reptomulticlausa	d'Orbigny 1853	d'Orbigny 1852[3]
Reptomultisparsa	d'Orbigny 1853	d'Orbigny 1852[3]
Retecavella	Linnaeus 1987	Voigt 1987
Reticrisina	d'Hondt 1899	Gregory 1899
Ripisoecia	Liu 1922	Canu & Bassler 1919
Rodinopora	Robertson 1999	Taylor & Grischenko 1999
Sagenella	Kluge 1851	Hall 1851
Seguenziella	Harmer 1900	Neviani 1901
Semicinctipora	Hincks 1992	Boardman, McKinney & Taylor 1992
Semifungella	Norman 1981	Favorskaya 1981
Semimulticavea	d'Orbigny 1853	d'Orbigny 1852 [3]
Septocea	Kirkpatrick 1995	Voigt 1995
Serpentipora	Brood 1976	Brook 1976
Siphodictyum	Hincks 1849	Lonsdale 1849
Siphoniotyphlus	Osburn 1850	Lonsdale 1850
Sparsicavea	d'Orbigny 1853	d'Orbigny 1852[3]
Sparsicytis	Kluge 1907	Filliozat 1907
Spiropora	Unknown 1821	Lamouroux 1821
Stellocavea	d'Orbigny 1853	d'Orbigny 1852[3]
Stephanodesma	Desor 1881	Hamm 1881
Stomatopora	Yanagi & Okada 1825	Bronn 1825
Stomatopora	Yanagi & Okada 1825	Brown, 1825
Stomatoporina	Hincks 1958	Balavoine 1958
Sulcocava	Hincks 1854	d'Orbigny 1854
Supercytis	d'Orbigny 1854	d'Orbigny 1853
Tayloripora	Zágoršek 2003	Zagorsek 2003
Tennysonia	Hayward & Cook 1867	Busk 1867
Tervia	Hayward 1883	(Jullien 1882)
Tetrapora	Quenstedt 1858	Schauer, 1843
Tetrastomatopora	Hayward & Cook 1991	Moyano 1984
Tetrocycloecia	Canu 1917	Canu [1918]
Theonoa	Linnaeus 1821	Lamouroux 1821
Triplozooecia	Norman 1972	Brood 1972
Unicavea	d'Orbigny 1853	d'Orbigny 1852[3]
Voigtia	Hasenbank 1985	A. W. Roth, 1790
Wolinella	Dzik 1981	Tanner et al. 1981
Wolinella	Dzik 1981	Tanner, Badger, C.H. Lai, Listgarten, Visconti Socransky, 1981
Ybselosoecia	Fleming 1933	Canu & Lecointre 1933
Zonopora	d'Orbigny 1849	d'Orbigny 1848
Kermadecazoon	Waters 2006	Tilbrook 2006
Calvipelta	Audouin  2006	WESTROP 1986
Predanophora	Couch 2006	Tilbrook 2006
Callistopora	Waters 2005	Winston 2005
Amplexicamera	Busk 2005	Winston 2005
Anolotichiina	Pushkin in Pushkin & Gataulina 1992	Pushkin 1992
Eoheteropora	Morozova in Morozova & Zharnikova 1984	Morozova 1984
Eoheteropora	Morozova in Morozova & Zharnikova 1984	Morozova in Morozova & Karnikova 1984
Filicavea	d'Orbigny 1852 [53]	d'Orbigny 1852-3
Minutolunaria	Pushkin in Pushkin & Gataulina 1992	Pushkin 1992
Nicholsonella	Miller 1889	Ulrich 1889
Pinnatopora	Shrubsole in Shrubsole & Vine 1884	Shrubsole 1884
Pinnatopora	Shrubsole in Shrubsole & Vine 1884	Vine 1884
Ptilotrypa	Miller 1889	Ulrich 1889
Schizotrema	Vigneaux 1948	Calman 1911
Dacryopora	Lang 1914	Terquem 1855
Phacelopora	Miller 1889	Ulrich 1889
Jullienipora	Reverter-Gil & Fern�ndez-Pulpeiro, 2005	Reverter-Gil & Fernandez-Pulpeiro 2005
Globulipora	Peron & Thomas 1893	P�ron 1893
Chilopora	Kraatz nec Haime 1854, 1856	Haime 1854
Acanthodesia	Canu & Bassler 1920	Canu & Bassler 1919
Filiflustrellaria	d'Orbigny 1853	d'Orbigny 1852
Reptoflustrina	d'Orbigny 1853	d'Orbigny 1852
Reussina	Kluge 1962	Grzymium 1896
Reussina	Kluge 1962	Neviani 1896
Escharinella	d'Orbigny 1852	d'Orbigny 1851
Multiporina	d'Orbigny 1852	Gabb & Horn [non d'Orbigny 1852] 1862
Eurydictya	Miller 1889	Ulrich 1889
Euspilopora	Ulrich 1889	Roule 1889
Goniotrypa	Ulrich 1889	Roule 1889
Prophyllodictya	Gorjunova in Gorjunova & Lavrentjeva 1987	Gorjunova 1987
Cladodictya	Lavrentjeva in Goryunova & Lavrentjeva 1993	Lavrentjeva 1993
Pteropora	Hall [non Eichwald 1855] 1883	Eichwald 1855
Stellatodictya	Gorjunova in Goryunova & Lavrentjeva 1993	Gorjunova 1993
Paranicklesopora	Gorjunova in Goryunova 1988	Gorjunova 1988
Veroclema	Goryunova 1992	Goryuno 1992
Streblascopora	Bassier 1952	Bassler 1952
Heloclema	Schulga Nesterenko 1955	Schulga-Nesterenko 1955
Heloclema	Schulga Nesterenko 1955	Shulga-Nesterenko 1955
Hexites	Schulga-Nesterenko 1955	Shulga-Nesterenko 1955
Nematopora	Duvergier 1921	Ulrich, 1888
Primorella	Romantchuk & Kiseleva 1968	Romanchuk & Kiseleva 1968
Acanthoclema	Hall 1886	Hull 1886
Mongoloclema	Shishova 1970	Shlshova 1970
Rozanovia	Goryunova 1992	Goryuno 1992
Streblotrypa	Ulrich in Vine 1885	Vine 1885
Megacanthoporina	Morozova in Ariunchimeg & Morozo 1992	Morozova 1992
Orthopora	Waters 1904	Hall 1886
Orthopora	Waters 1904	Hull 1886
Pinegopora	Saishova 1965	Shishova 1965
Tebitopora	Zhao-xun 1984	Hu 1984
Mediaporina	Pushkin in Pushkin & Yaposhinskaya 1990	Pushkin 1990
Promediapora	Goryunova 1992	Goryuno 1992
Rhabdomeson	Young and Young 1874	Young & Young 1874
Rhabdomeson	Young and Young 1874	Young 1874
Spirillopora	Guerich 1896	G�rich 1896
Streblocladia	Schmitz in Engler et Prantl, 1897	Schmitz 1897
Streblocladia	Schmitz in Engler et Prantl, 1897	Schmitz in Engler & Prantl 1897
Strebloplax	Elias & Condra 1957	Elias 1957
Tamaroclema	Goryunova 1992	Goryuno 1992
Flabellotrypa	Bassler 1952	Bassel 1952
Ralfinella	Lavrentjeva 1985	Lavrenteva 1985
Cyclopelta	Arnyot & Serville 1843	Amyot & Serville 1843
Speotrypa	Dessilly & Kr�usel 1963	Dessily & Krausel 1963
Fenestella	Bolten 1798	R�ding 1798
Fenesteverta	Elias & Condra 1957	Elias 1957
Kazarchimedes	Plamenskaja 1964	Plamenskaya 1964
Neohemitrypa	Schastlivceva in Morozova 2001	Schastlivceva 2001
Protoretepora	de Koninck 1876	Koninck 1876
Sphragiopora	Miller 1889	Ulrich 1889
Ichthyorachis	M'Coy 1844	McCoy 1844
Pushkinella	Lavrent'yeva 1979	Lavrentjeva 1979
Polypora	M'Coy 1842	McCoy 1842
Stigmatella	Berkeley and Curtis in Berkeley 1857 and Berkeley 1874	Berk. & M.A. Curtis 1857
Stigmatella	Berkeley and Curtis in Berkeley 1857 and Berkeley 1874	Berkeley & M.A. Curtis 1857
Stigmatella	Berkeley and Curtis in Berkeley 1857 and Berkeley 1874	M. J. Berkeley et M. A. Curtis in M. J. Berkeley, 1857
Stigmatella	Berkeley and Curtis in Berkeley 1857 and Berkeley 1874	M.J. Berkeley & M.A. Curtis in M.J. Berkeley 1857
Hallopora	Bassler 1911	Gassier 1911
Diatrypella	(Cesati et De Notaris) De Notaris, 1863	(Ces. & De Not.) De Not. 1863
Diatrypella	(Cesati et De Notaris) De Notaris, 1863	(Cesati & De Notaris) De Notaris 1863
Monotrypella	Vinassa de Regny [non Ulrich 1882] 1911	Ulrich 1882
Atactopora	Canu & Bassler 1929	Ulrich 1879
Permopora	M. K. Elias, 1947	ELIAS 1947
Stenocladia	J. G. Agardh, 1872	J. Agardh 1872
Anisotrypella	Dunayeva & Morozova 1968	Morozova 1968
Crustoporella	Gorjunova in Makhlina, Alekseev, Goreva, Gorjunova, Isakova, Kossovaya, Lazarev, Lebedev & Shkolin 2001	Gorjunova 2001
Petalotrypa	Miller 1889	Ulrich 1889
Cyclopora	Jullien in Jullien & Calvet 1903	Rafinesque 1815
Cyclopora	Jullien in Jullien & Calvet 1903	Verrill [non Rafinesque 1815] 1866
Cycloporella	Busk 1895	Miller 1889
Cycloporella	Busk 1895	Ulrich 1889
Araxopora	Rezhentzev & Sariecheva 1965	Morozova 1965
Styloclema	Sch�fer & Grant-Mackie, 1994	Schafer & Grant-Mackie 1994
Mishulgella	Gorjunova in Makhlina, Alekseev, Goreva, Gorjunova, Isakova, Kossovaya, Lazarev, Lebedev & Shkolin 2001	Gorjunova 2001
Podljassipora	Pushkin in Pushkin & Yaposhinskaya 1990	Pushkin 1990
Constellaria	Dana 1846 U.S. Explor. Exp.	Dana 1846
Lichenalia	Hall in Silliman, Silliman & Dana 1851	Hall 1851
Rhinoporella	Goryunova 1992	Goryuno 1992
Discotrypella	Elias & Condra 1957	Elias 1957
Fistuliphragmoides	Gorjunova in Gorjunova & Weiss 2003	Gorjunova 2003
Parametelipora	Morozova in Morozova & Kruchinina 1986	Morozova 1986
Pinacotrypa	Ulrich in Miller 1889	Miller 1889
Pinacotrypa	Ulrich in Miller 1889	Ulrich 1889
Strotopora	Miller 1889	Ulrich 1889
Meekopora	Ulrich in Miller 1889	Miller 1889
Meekopora	Ulrich in Miller 1889	Ulrich 1889
Phractopora	Lang 1916	Hall 1883
Dichotrypa	Miller 1889	Ulrich 1889
Mongolodictya	Gorjunova in Goryunova 1988	Gorjunova 1988
Ceramopora	Hall in Silliman, Silliman & Dana 1851	Hall 1851
Uldzapora	Gorjunova in Goryuno 1994	Gorjunova 1994
Worthenopora	Ulrich in Miller 1889	Miller 1889
Worthenopora	Ulrich in Miller 1889	Ulrich 1889
Murengoloclema	Gorjunova in Goryuno 1994	Gorjunova 1994
Cristatella	Lamarck [non Cuvier 1798] 1801	Cuvier, 1798
count: 923
