# ID
#   Unknown id number
# NUMBER
#   Unknown number
ID	AUTHOR	YEAR	TEXT	TITLE	NUMBER	PAGES
6835	J.-L. d'Hondt, M. Goyffon and P. Billiald	1993	Etude de differentes populations européennes d'Alcyonidium polyoum (Hassall, 1841) (=Alcyonidum gelatinosum auct.) (Bryozoa, Ctenostomida) en isoelectrofocalisation	Annales des Sciences naturelles, Zoologie & Biologie animale	14	147-155
6836	J.-L. d'Hondt and M. Goyffon	2002	Observations complementaires sur le polymorphisme enzymatique d'Electra pilosa et d'E. verticillata (Bryozoaires cheilostomes)	Bulletin de la Société zoologique de France	127	223-232
6837	J.-L. d'Hondt and M. Goyffon	1996	Étude électrophorétique comparée sur gels à gradient de quelques populations intraspécifiques d'Alcyonidium (Bryozoaires) recueillies a des profondeurs ou sur des substrats différents	Bulletin trimestriel de la Société Géologique de Normandie et Amis Muséum de Havre	83	31-36
6838	J.-L. d'Hondt and M. Goyffon	1996	Étude électrophorétique d'isolats géographiques d'Alcyonidium polyoum (Hassal, 1841), Bryozoaires, Cténostomes en manche et en Mer du Nord	Bulletin de la Société zoologique de France	121	321-329
6839	J.-L. d'Hondt and M. Goyffon	1996	Evolutive observations on discontinuous populations of Alcyonidium polyoum (Hassall, 1841) (Bryozoa, Ctenostomida) along the coasts of Galicia and the Bay of Biscay	Miscellania Zoologica	19	1-8
6840	J.-L. d'Hondt and M. Goyffon	1993	Observations sur le polymorphisme de quelques populations européennes d'Electra pilosa (Linné, 1767) (Bryozoaires, Cheilostomes)	Bulletin de la Société zoologique de France	118	375-386
6841	J.-L. d'Hondt and M. Goyffon	1992	Le complexe d'especes 'Alcyonidium hirsutum (Fleming, 1828)': comparaison avec Flustrellidra hispida (Fabricius, 1780) (bryozoaires, ctenostomes)	Bulletin De La Societe Zoologique De France Evolution Et Zoologie	117	45-64
6842	J.-L. d'Hondt and M. Goyffon	1992	Electrophoretic variability of Alcyonidium mytili Dalyell, 1847 (Bryozoa, Ctenostomida) from European coasts	Bolletino di zoologia, pubblicato dall'Unione zoologica italiano. Napoli, etc.	59	465-470
6843	J.-L. d'Hondt and M. Goyffon	1991	Etude d'un cas de speciation en cours chez les bryozoaires: la population de la superspecies Alcyonidium polyoum (Hassall, 1841) d'Angle (Pays de Galles)	Cahiers de Biologie Marine	32	487-502
6844	J.-L. d'Hondt and M. Goyffon	1991	Observations preliminaire sur la variabilite intraspecifique chez Alcyonidium gelatinosum (Linne, 1767), bryozoaires, ctenostomes	Bulletin de la Société zoologique de France	116	27-36
6845	J.-L. d'Hondt and M. Goyffon	1988	Emploi des clés tabulaires de détermination dans l'interprétation des gels de polyacrylamide à gradient en électrophorèse qualitative	Bulletin de la Société zoologique de France	113	355-364
6846	J.-L. d'Hondt and M. Goyffon	1988	Remarques sur quelques difficultes et ambiguites da la taxinomie et de la sysematique zoologiques	Bulletin de la Société Zoologique de France	113	5-79
6847	J.-L. d'Hondt and M. Goyffon	1987	Variation clinale d'Alcyonidium polyoum (Hassal, 1841) (Bryozoaires, Cténostomes) le long des côtes de l'Europe Occidentale	Rev Inst Pasteur Lyon	20	121-125
6848	J.-L. d'Hondt and M. Goyffon	1986	Étude de la variabilité intraspécifique d'Alcyonidium polyoum (Hassal, 1841) (Bryozoaires, Cténostomes) sur gels de polyacrylamide à gradient	Bulletin de la Société zoologique de France	111	183-194
6849	J.-L. d'Hondt and D. P. Gordon	1999	Entoproctes et Bryozoaires Cheilostomatida (Pseudomalacostegomorpha et Cryptocystomorpha) des campagnes MUSORSTOM autour de la Nouvelle Calédonie	Mémoires du Muséum National d'Histoire Naturelle	180	169-251
6850	J.-L. d'Hondt and D. P. Gordon	1996	Bryozoa: ctenostomes et cheilostomes (cellularines, scrupariines et malacosteges) des campagnes MUSORSTOM autour de la Nouvelle-Caledonie	Memoires Du Museum National D'Histoire Naturelle	168	55-123
6851	J.-L. d'Hondt and S. Geraci	1976	Arachnoidea annosciae n.sp., nouveau bryozoaire cténostome Arachnidiidae du Golfe de Genes	Annali del Museo Civico di Storia naturale di Genova	81	139-152
6852	J.-L. d'Hondt and S. Geraci	1975	Benedenipora delicatula n. sp., nouveau bryozoaire cténostome de méditerranée occidentale	Estratto Dagli Annali del Museo Civico de Storia Naturale di Genova	80	294-303
6853	J.-L. d'Hondt and S. Geraci	1975	Benedenipora delicatula n.sp., nouveau Bryozoaire Cténostome de Méditerranée occidentale	Annali del Museo Civico di Storia naturale di Genova	81	139-152
6854	J.-L. d'Hondt and Å. Franzen	2001	Observations on embryological and larval stages of Macandrevia cranium (Müller, 1776) (Brachiopoda, Articulata)	Invertebrate Reproduction and Development	40	153-161
6855	J.-L. d'Hondt, R. Coutin, D. Defaye, P. Dessaix, J.-L. Dommanget, G. Magniez and J. Mathieu	2000	Observations sur la faune et la flore des bras morts de l'Isle a Savignac-les-Eglises (Dordogne). 2. La macrofaune	L'Ascalaphe	8	10-13
6856	J.-L. d'Hondt and B. Cond‚	1996	Une espéce de Bryozoaires d'eau douce (Phylactolaemates) nouvelle pour la faune française: Pectinatella magnifica (Leidy, 1851)	Bulletin Mensuel de la Société Linnéenne de Lyon	65	322-326
6857	J.-L. d'Hondt and T. Clauss	1999	Prèsence dans l'est de la France de Lophopus crystallinus (Pallas, 1768) (Bryozoaires, Phylactolaemates)	Bulletin Mensuel de la Société Linnéenne de Lyon	68	49-54
6858	J.-L. d'Hondt and C. Cazaux	1994	Presence de Bugula simplex (Hincks, 1886) (Bryozoaires, Cheilostomes) dans le Bassin d'Arcachon	Bulletin de la Societe linneenne de Bordeaux	22	141-143
6859	J.-L. d'Hondt and G. C. Cadée	1994	Bugula stolonifera nieuw voor Nederland en enkele andere Bryozoën van Texel	Zeepaard	54	33-37
6860	J. L. d'Hondt, M. Goyffon and E. Queinnec	1991	Contributions des techniques electrophoretiques a la connaissance de la systematique des bryozoaires	BULLETIN DE LA SOCIETE DES SCIENCES NATURELLES DE L'OUEST DE LA FRANCE MEMOIRE HORS DE SERIE No	1	169-177
6861	J. L. d'hondt and M. Goyffon	1987	Etude de la variabilite intraspecifique d'Alcyonidium polyonum (Hassall, 1841) (Bryozoaires, Ctenostomes) sur gels de polyacrylamide a gradient	Bulletin De La Societe Zoologique De France	111	183-194
6862	J. L. d'Hondt	1997	On the affinities of the Cycliophora Funch and Kristensen, 1995, a new embranchment of marine invertebrates, ectoparasite or commensal of crustaceans (Decapoda)	Bulletin Mensuel De La Societe Linneenne De Lyon	66	12-22
6863	J. L. d'Hondt	1997	Comment on the proposed designation of a replacement neotype for Alcyonidium mytili Dalyell, 1848 (Bryozoa)	Bulletin Of Zoological Nomenclature	54	49-50
6864	J. L. d'Hondt	1991	The Bryozoa of the Lamouroux collection	BULLETIN DE LA SOCIETE DES SCIENCES NATURELLES DE L'OUEST DE LA FRANCE MEMOIRE HORS DE SERIE No	1	161-168
6865	J. L. d'Hondt	1990	Louis-Auguste-Guillaume Bosc (1759-1828), conventionnel et naturaliste, premier systematicien francais des bryozoaires actuels	Actes du Congres National des Societes Savantes Section Histoire des Sciences et des Techniques	114	241-258
6866	J. L. d'Hondt	1990	Adelascopora secunda subsp. charcoti, subsp. nov., nouveau bryozoaire cheilostome (Microporellidae) de l'ocean glacial arctique	Bulletin De La Societe Zoologique De France	115	263-270
6867	J. L. d'Hondt	1989	Genevieve Bobin (13 septembre 1912 - 23 juillet 1989)	Bulletin De La Societe Zoologique De France	114	1-3
6868	J. L. d'Hondt	1988	Bryozoa from the coast of Israel	Bolletino di zoologia, pubblicato dall'Unione zoologica italiano. Napoli, etc.	55	191-203
6869	J. L. d'Hondt	1984	Nouvelle contribution a la connaissance des bryozoaires marins des terres australes francaises	Cnfra	55	95-116
6870	J. L. d'Hondt	1984	Un nouvel immigrant dans le bassin d'Arcachon, Watersipora aterrima (Ortmann, 1890) (Bryozoaire cheilostome)	Comptes Rendus Du Congres National Des Societes Savantes Paris Section Des Sciences	109	237-245
6871	J. L. d'Hondt	1983	Nouvelle contribution a l'etude des bryozoaires eurystomes bathyaux et abyssaux de l'ocean Atlantique	Bulletin Du Museum National D'Histoire Naturelle Section A Zoologie Biologie Et Ecologie Animales	5	73-99
6872	J. L. d'Hondt	1980	Les bryozoaires due secteur indien de l'Ocean Austral	Compte Rendu Des Seances De La Societe De Biogeographie		479-481
6873	J. L. d'Hondt	1979	Ultrastructural characteristics of the various larval cell categories of the gymnolaematous Bryozoa	Systematics Association Special		47-58
6874	J. L. d'Hondt	1976	Louis Redier (10 aout 1892 - 18 mai 1975) ses publications sur les hydraires et les bryozoaires	Cahiers Des Naturalistes	32	37-38
6875	J.-L. d'Hondt	2003	On a collection of Bryozoa from the Tromsö area (Norway)	Fauna Norvegica	23	15-24
6876	J.-L. d'Hondt	2001	Flustrina versus Neocheilostomina (Bryozoaires). Remarques sur la biosystematique aux niveaux supraspecifiques	Bulletin de la Société zoologique de France	126	391-406
6877	J.-L. d'Hondt	2001	The use of polyacrylamide gel electrophoresis in animal systematics, phylogeny, and ecophysiology	Electrophoresis	22	404-412
6878	J.-L. d'Hondt	2001	Etude isoenzymologique du Bryozoaire Carbasea papyracea (Solander, 1786) aux différentes phases du cycle polypidien	Bulletin de la Société zoologique de France	126	189-193
6879	J.-L. d'Hondt	2000	Prèsence du Bryozoaire Phylactolaemate Plumatella repens (Linnè, 1758) en Dordogne	Bulletin Mensuel de la Société Linnéenne de Lyon	69	29-31
6880	J.-L. d'Hondt	2000	Apports mutuels et complementarite de la zoologie et de la paleozoologie: quelques exemples chez les invertebres.	Bull. Soc. zool. France	125	293-317
6881	J.-L. d'Hondt	1999	Les Bryozoaires des milieux saumâtres côtiers et estuariens. État des connaissances sur les espèces européennes	124e Congrès National des Sociétés Historiques et Scientifiques, Nantes		191-221
6882	J.-L. d'Hondt	1997	La classification actuelle des bryozoaires eurystomes	Bulletin de la Société zoologique de France	122	289-301
6883	J.-L. d'Hondt	1997	Adaptations chez les Bryozoaires	Bulletin de la Société zoologique de France Evolution Et Zoologie	122	137-148
6884	J.-L. d'Hondt	1997	Les Bryozoaires sont-ils des protostomiens ou des deuterostomiens?	Bulletin de la Société zoologique de France	122	261-268
6885	J.-L. d'Hondt	1996	Étude de deux «cas d'despéces» en taxinomie zoologique. Examples chez les bryozoaires	Bulletin de la Société zoologique de France	121	347-362
6886	J.-L. d'Hondt	1995	Apports et limites de deux approches, biologique et technologique, de l'évolution chex les bryozoaires: la morphogenèse et l'électrophorèse des protéines	Bulletin de la Société zoologique de France	120	415-424
6887	J.-L. d'Hondt	1995	Emploi des gels de polyacrymalide à gradient en systèmatique et en ècophysiologie. Principes et mode opèratoire	Bulletin Mensuel de la Société Linnéenne de Lyon	64	54-56,89-96
6888	J.-L. d'Hondt	1995	Histoire et chronologie des recherches su les bryozoaires	Bull Hist Épistem Sc Vie	2	98-111
6889	J.-L. d'Hondt	1995	Bryozoaires marins de Polyn‚sie fran‡ais	Annales de l'Institut océanographique, Monaco	71	5-17
6890	J.-L. d'Hondt	1994	Etat des connaissances sur les cycles de developpement chez les bryozoaires	Bulletin de la Société zoologique de France	119	275-283
6891	J.-L. d'Hondt	1993	Origine des collections de Bryozoaires du Muséum National d'Histoire Naturelle de Paris	Histoire et Nature	30	55-61
6892	J.-L. d'Hondt	1991	Guide de terrain pur la recolte des bryozoaires marins sur les cotes occidentales francaises. 2. Bassin d'Arcachon (Institut de Biologie Marine d'Arcachon)	Bulletin trimestriel de la Société Géologique de Normandie et Amis Muséum de Havre	78	17-25
6893	J.-L. d'Hondt	1990	Guide de terrain pour la récolte des Bryozoaires marins sur les côtes occidentales françaises. 1. Golfe de Morbihan (Station Biologique de Bailleron)	Bulletin trimestriel de la Société Géologique de Normandie et Amis Muséum de Havre	77	51-57
6894	J.-L. d'Hondt	1989	L'evolution des classifications: Exemple des bryozoaires	Bulletin de la Société zoologique de France	114	11-18
6895	J.-L. d'Hondt	1989	Louis-Augustin-Guillaume Bosc (1759-1828), Conventionnel et naturaliste, premier systématicien français des bryozoaires actuels	Histoires de Scientifiques et Sociétés, Paris		241-258
6896	J.-L. d'Hondt	1989	Le concept d'Embranchement dans la systématique des Métazoaires. I. Revue historico-critique du concept d'Embranchement. Problèmes terminologiques et synonymiques	Annales des Sciences Naturelles, Zoologie, Paris	10	47-59
6897	J.-L. d'Hondt	1988	Bryozoaires marins de Guipúzcoa	Cahiers de Biologie Marine	29	513-529
6898	J.-L. d'Hondt	1987	Nouveaux bryozoaires profonds due Pacifique et de l'Atlantique nord	Bulletin Du Museum National D'Histoire Naturelle Section A Zoologie Biologie Et Ecologie Animales	9	537-549
6899	J.-L. d'Hondt	1987	Bryozoaires littoraux de la cote basque française	Bulletin du Centre d'Études et de Recherches Scientifiques Biarritz	15	43-52
6900	J.-L. d'Hondt	1987	Concepts et critères de famille et superfamille chez les métozoaires	Annee Biologique	26	141-175
6901	J.-L. d'Hondt	1986	La campagne oceanographique du <<Caudan>> (19 Aout - 2 Septembre 1895)	Bulletin Mensuel de la Société Linnéenne de Lyon	55	IV-VII
6902	J.-L. d'Hondt	1986	Etat de connaissances sur la position phylogenetique et l'evolution des bryozoaires	Bolletino di zoologia, pubblicato dall'Unione zoologica italiano. Napoli, etc.	53	247-269
6903	J.-L. d'Hondt	1986	In memorium: Roger l'Hoste (1914-1985)	L'Entomologiste	42	41-42
6904	J.-L. d'Hondt	1986	La campagne oceanographiques du Caudan (19 Aout-2 Septembre 1895)	Bulletin mensuel de la Société linnéenne de Lyon	55	4-8
6905	J.-L. d'Hondt	1985	Brachiopodes et Bryozoaires (Musorstom II)	Mémoires du Muséum National d'Histoire Naturelle	133	519-525
6906	J.-L. d'Hondt	1985	Nouvelle contribution a la connaissance des Bryozoaires marins des terres australes françaises	Comité national français des Recherches Antarctiques	55	95-116
6907	J.-L. d'Hondt	1985	Bryozoaires des campagnes Abyplaine	Bulletin du Muséum national d'histoire naturelle	7	39-48
6908	J.-L. d'Hondt	1985	Contribution à la systématique des Bryozoaires Eurystomes. Apports récents et nouvelles propositions	Annales des Sciences naturelles, Zoologie & Biologie animale	7	1-12
6909	J.-L. d'Hondt	1985	Contributions des chercheurs français à la connaissance des Bryozoaires actuels	Histoire et Nature	26-27	3-26
6910	J.-L. d'Hondt	1985	Quelques remarques sur l'orthographe des noms scientifiques et vernaculaires en zoologie	Bull. trim Soc. Géol. Normandie et Amis Muséum du Havre	72	9-13
6911	J.-L. d'Hondt	1985	Biographie et Oeuvre zoologique de Louis Calvet (Podome, 1868--Perpignan, 1930)	Actes du Congres National des Societes Savantes Section des Sciences	Histoire des sciences et des techniques, Tome I	73-83
6912	J.-L. d'Hondt	1984	Bryozoaires épibiontes sur le brachiopode articulé Gryphus vitreus (Born, 1778) en mer Méditerranée occidentale (Corse)	Vie et Milieu	34	27-33
6913	J.-L. d'Hondt	1984	Les taxons et les catégories taxinomiques supra spécifiques et infraspécifiques chez les Bryozoaires Eurystomes	Annee Biologique	23	209-241
6914	J.-L. d'Hondt	1983	Contribution a la connaissance des bryozoaires marins de Guyane et du Surinam	Zoologische Mededelingen	57	137-147
6915	J.-L. d'Hondt	1983	Tabular keys for the identification of the Recent Ctenostomatous Bryozoa	Mémoires de l'Institut océanographique	14	1-134
6916	J.-L. d'Hondt	1983	Sur l'evolution des quatre macromères du pôle végétatif chez les embryons de bryozoaires eurystomes	Cahiers de Biologie Marine	24	177-185
6917	J.-L. d'Hondt	1983	Nouvelle contribution à l'étude des Bryozoaires Eurystomes bathyaux et abyssaux de l'Océan Atlantique	Bulletin du Muséum national d'histoire naturelle	5	73-79
6918	J.-L. d'Hondt	1982	Incidences des rejets d'hydrocarbures de l'"Amoco Cadiz" sur les populations de Bryozoaires ∑pibiontes du Chenal de l'Ile Verte (Roscoff, France)	Trav Stn biol Roscoff NS	28	75-84
6919	J.-L. d'Hondt	1982	Les bryozoaires eurystomes bathyaux	Compte rendu sommaire des séances. Sociéte de biogéographie	58	30-48
6920	J.-L. d'Hondt	1982	Inventaire des bryozoaires et entoproctes de Luc-sur-Mer (Calvados)	Bulletin trimestriel de la Société Géologique de Normandie et Amis Muséum de Havre	69	9-17
6921	J.-L. d'Hondt	1982	Progrès récents dans la connaissance de 'lophophoriens' (sensu lato). Table ronde organisée a Paris le 10 mars 1981 a la Société zoologique de France	Bulletin de la Société zoologique de France	107	179-183
6922	J.-L. d'Hondt	1982	Développement et morphogenèse chez les Bryozoaires Eurystomes	Bulletin de la Société zoologique de France	107	267-289
6923	J.-L. d'Hondt	1981	Bryozoaires cheilostomes bathyaux et abyssaux provenant des campagnes oceanographiques americaines (1969-1972) de l''Atlantis II', du 'Chain' et du 'Knorr' (Woods Hole Oceanographic Institute)	Bulletin Du Museum National D'Histoire Naturelle Section A Zoologie Biologie Et Ecologie Animales	3	5-71
6924	J.-L. d'Hondt	1981	Resultats de campagnes MUSORSTOM. 1. Philippines (18-28 mars 1978). Bryozoaires et brachiopodes	Memoires ORSTOM	91	545-556
6925	J.-L. d'Hondt	1981	Note préliminaire sur les neurosécrétions larvaires des bryozoaires	Comptes Rendus De L'Academie Des Sciences Serie Iii Sciences De La Vie	293	329-332
6926	J.-L. d'Hondt	1981	Mise en évidence d'une activité phosphatique acide lors de la métamorphose larvaire de Bowerbankia imbricata (Adams, 1798), bryozoaire cténostome	Bulletin de la Société zoologique de France	106	363
6927	J.-L. d'Hondt	1981	Les problèmes de l'Espèce chez les Bryozoaires	Annee Biologique	20	375-402
6928	J.-L. d'Hondt	1979	Bryozoen aus dem Nordatlantik and dem Englishen Kanal	Meteor Forschungsergebnisse	28	1-5
6929	J.-L. d'Hondt	1979	Nouveaux bryozoaires ctenostomes bathyaux et abyssaux	Bulletin de la Société zoologique de France	103	325-333
6930	J.-L. d'Hondt	1979	Les Bryozoaires du secteur indien de l'Ocean Austral	Compte rendu sommaire des séances. Sociéte de biogéographie	481	53-72
6931	J.-L. d'Hondt	1979	Revision des Bryozoaires de Lesueur et Péron conservés dans les collections du Muséum National d'histoire naturelle de Paris	Bulletin trimestriel de la Société Géologique de Normandie et Amis Muséum de Havre	66	9-24
6932	J.-L. d'Hondt	1979	Briozoos del levante español	Boletin de la Real Sociedad española de historia natural	77	457-472
6933	J.-L. d'Hondt	1979	Catalogue des collections de Bryozoaires de l'IFAN	Bulletin de l'IFAN	41, sér. A	330-348
6934	J.-L. d'Hondt	1978	Les Bryozoaires du Maroc et de Mauritanie	Cahiers de Biologie Marine	19	447-458
6935	J.-L. d'Hondt	1977	Structure larvaire et organogenèse post-larvaire chez Flustrella hispida (Fabricius, 1780), bryozoaire, ctenostome	Zoomorphologie	87	165-189
6936	J.-L. d'Hondt	1977	Structure, larvaire et histogenèse post-larvaire chez Crisia denticulata (Lamarck) (Bryozoa, Cyclostomata, Articulata)	Zoologica Scripta	6	55-60
6937	J.-L. d'Hondt	1977	Dendrobeania (Himantozoum) cheethami, n.sp. (Bryozoa, Cheilostomata). Considerations sur les Himantozoum	Cahiers de Biologie Marine	18	155-161
6938	J.-L. d'Hondt	1977	Bryozoaires récoltés en 1972 et 1973 par les campagnes Polymede 2 en Mediterranée occidentale et 'Thalassa' 1973 dans le Golfe de Gascogne (cheilostomes et cyclostomes)	Cahiers de Biologie Marine	18	59-70
6939	J.-L. d'Hondt	1977	Structure larvaire et histogenèse post-larvaire chez Bowerbankia imbricata (Adams, 1798) bryozoaire cténostome (vésicularines)	Archives de Zoologie Experimentale et Generale	118	211-243
6940	J.-L. d'Hondt	1977	Valeur systématique de la structure larvaire et des particularités de la morphogenése post-larvaire chez les Bryozoaires Gymnolaemates	Gegenbaurs morphologisches Jahrbuch	123	463-483
6941	J.-L. d'Hondt	1976	Evolution des lignées cellulaires larvaires des bryozoaires gymnolaemates au cours de la métamorphose et de l'organogenèse ancestrulaire	Bulletin de la Société zoologique de France	101	41-48
6942	J.-L. d'Hondt	1976	Evolution des lignées cellulaires des Bryozoaires Gymnolaenates au cours de la métamorphose et de l'organogenèse ancestrulaire	Bulletin de la Société Zoologique de France	101	41-46
6943	J.-L. d'Hondt	1975	Sur quelques Bryozoaires de la région de Dakar	Bulletin de l'IFAN	37, sér. A	620-628
6944	J.-L. d'Hondt	1974	Bryozoaires récoltés par la 'Thalassa' dans le Golfe de Gascogne (Campagnes de 1968 à 1972)	Cahiers de Biologie Marine	15	27-50
6945	J.-L. d'Hondt	1974	Le métamorphose larvaire et la formation du 'cystide' chez Alcyonidium polyoum (Hassall 1841), Bryozoaire Cténostome	Archives de Zoologie Experimentale et Generale	115	577-605
6946	J.-L. d'Hondt	1974	Bryozoaires du Bassin d'Arcachon	Bulletin de la Société linnéenne de Bordeaux	4	27-31
6947	J.-L. d'Hondt	1973	Musculature de la larve d'Alcyonidium polyoum (Hassall), bryozoaire ctenostome. Comparaison avec la musculature larvaire d'autres bryozoaires eurystomes	Compte r. hebd. Seanc. Acad. Sci., Paris (Ser. D)	276D	1449-1452
6948	J.-L. d'Hondt	1973	Bryozoaires et Brachiopodes de la Campagne Noratlante	Bulletin du Muséum national d'histoire naturelle (Zool.)	3	1209-1223
6949	J.-L. d'Hondt	1973	Etude anatomique, histologique et cytologique de la larve d'Alcyonidium polyoum (Hassall, 1841), Bryozoaire Cténostome	Archives de Zoologie Experimentale et Generale	114	537-602
6950	J.-L. d'Hondt	1972	Metamorphose de la larve d'Alcyonidium polyoum (Hassall), bryozoaire ctenostome	Comptes rendus hebdomadaires des séances de l'Academie des sciences (Ser. D)	275	767-770
6951	J.-L. d'Hondt	1970	Campagne d'essais du Jean Charcot (3-8 Décembre 1968), 5, Bryozoaires	Bulletin du Muséum national d'histoire naturelle	42	232-256
6952	R. W. Dexter	1955	Fouling organisms attached to the American lobster in Connecticut waters	Ecology	36	159-160
6953	R. W. Dexter	1947	The marine communities of a tidal inlet at Cape Ann, Massachusetts: a study in bio-ecology	Ecological Monographs	17	261-294
6954	J. Destombes, H. Termier and G. Termier	1971	Sur quelques bryozoaires ectoproctes de l'Ordovicien supérieur du Sud marocain	Notes du Service Geologique du Maroc	237	61-64
6955	S. S. Desser, A. Koehler, J. R. Barta, J. Kamyab and M. J. Ringuette	2004	Trichonosema algonquinensis n. sp (Phylum microsporidia) in Pectinatella magnifica (Bryozoa : Phylactolaemata) from Algonquin Park, Ontario, Canada	Journal of Eukaryotic Microbiology	51	389-393
6956	A. Desrochers and P. A. Bourque	1988	Lower Silurian biostromes and bioherms of southern Gaspe, Quebec Appalachians	CANADIAN SOCIETY OF PETROLEUM GEOLOGISTS MEMOIR No	13	299-303
6957	É. Desor	1848	Recent zoological investigations among the shoals of Nantucket	Proceedings of the Boston Society of Natural History	3	65-68
6958	É. Desor	1848	Ascidoidian polyps on bryozoa from Nantucket	Proc. Bost Soc. Nat. Hist.	3	66-67
6959	A. G. Desmarest	1811	Memoire sur un Zoophyte fossile	Bulletin de la Société Philomatique de Paris	(2) 1811	272-275
6960	E. Desilly	1961	Les Bryozoaires dévoniens de la Belgique. Le genre Canutrypa Bassler	Bulletin de l'Institut royal des Sciences naturelles de Belgique	37	1-12
6961	A. Desgouilles	1973	Plancton de la Baie du Lazaret (Tamaris)	Pelagos	4	82-173
6962	A. Descatoire, A. Fey and F. Lafargue	1969	Les peuplements sessiles de l'Archipel de Glénan	Vie et Milieu Série B: Océanographic	20	171-176
6963	K. M. Derjugin	1915	The fauna of Kulu fjord and the conditions of its existence. [in Russian]	Mem. Acad. Impér. Sciences Pélrôgrad (8)	34	391-313
6964	K. M. Derjugin	1911	Zur kenntnis der faune des Koal Fjords. Die arberton an bord der jacht << Alexander Kowalensky >> im Jahre 1909. Vorlaüfige Mitteilung II.	Trav. Soc. Impér. Natur. St.-Pétersbourg	42	23-43
6965	J. B. Derebach and P. J. L. Williams	1974	Autotrophic and bacterial production: fractionation of plankton populations by differential filtration of samples from the English Channel.	Mar. Biol.	25	263-269
6966	A. M. Dennis and D. R. Lawrence	1979	Macrofauna and fossil preservation in the Magoffin marine zone, Pennsylvanian Breathitt Formation of eastern Kentucky	Southeastern Geology	20	181-191
6967	S. G. Denisenko, N. V. Denisenko, K. K. Lehtonen, A.-B. Andersin and A. O. Laine	2003	Macrozoobenthos of the Pechora Sea (southeastern Barents Sea): community structure and spatial distribution in relation to environmental conditions	Marine Ecology Progress Series	258	109-123
6968	N. V. Denisenko	1998	Notes on the bryozoan fauna in the area north of the Spitsbergen archipelago	Berichte Zur Polarforschung	287	14-18
6969	N. V. Denisenko	1983	K metodike opredeleniya biomassii mshanok [in Russian]	Zoologicheskii Zhurnal	62	1729-1731
6970	A. Dendy	1900	Cryptopolyzoon, an emendation in nomenclature	Zoologischer Anzeiger	23	391-392
6971	A. Dendy	1888	On the anatomy of an arenaceous Polyzoon	Proceedings of the Royal Society of Victoria (new series)	1	1-11
6972	K. Demel and W. Mankowski	1951	Quantitative investigations on the bottom fauna in the Southern Baltic [in Polish]	Prace Morsk. Inst. Ryb. w. Gdyni	6	57-82
6973	G. Demarcq	1987	Palaeothermic evolution during the Neogene in Mediterranea through the marine megafauna	Annales Instituti Geologici Publici Hungarici	70	371-375
6974	J. J. Delvolve and F. K. McKinney	1983	A Carboniferous bryozoan faunule from the Pyrenees	Senckenbergiana Lethaea	64	315-335
6975	D. A. Delmet and R. L. Anstey	1974	Fourier analysis of morphologic plasticity within an Ordovician bryozoan colony	Journal of Paleontology	48	217-226
6976	D. A. Delmet	1955	Rates of growth of gastropods as a function of latitude.	Physiol. Zool.	28	115-144
6977	B. Dell'Angelo and G. F. Laghi	1980	Hippopodinella lata (Busk, 1856) (Bryozoa, Cheilostomata) epizoica su Chiton olivaceus Spengler 1797	Oebalia	6	25-30
6978	M. Delamette and B. Walter	1984	Les faunes de bryozoaires de l'Aptien Superieur et de l'Albien en Haute-Savoie et dans l'Ain	Revue De Paleobiologie	3	27-51
6979	R. Dekker	1991	Record of rare Anguinella palmata (Bryozoa: Ctenostomata) [in Dutch]	Zeepaard	51	31-34
6980	C. Dejoux	1992	Lake Titicaca. A synthesis of limnological knowledge. The Bryozoa and Coelenterata	Monographiae Biologicae	68	289-294
6981	B. Dehdashti and D. W. Blinn	1986	A bryozoan from an unexplored cave at Montezuma Well, Arizona	Southwestern Naturalist	31	557-558
6982	D. Decrouez and I. Juriens-Cottet	2003	Les collections du département de géologie et de paléontologie du Muséum d’histoire naturelle de Genève. 79. La collection générale (Bryozoa)	Revue de Paléobiologie	22	925-929
6983	M. Dechart	1962	Mikrofotografie in Farben	Mikrokosmos	51	326-328
6984	S. Debrand-Passard and H. Tintant	1971	Observations sur le Jurassique supérieur de l'Indre	Compte Rendu Societe Geologique de France	1971	104-105
6985	C. D. Deboutteville	1960	Giologie des eaux souterraines littorales et continentales	Actualités sci. industr.	1280 (Vie et Milieu. Suppl. no. 9)	1-740
6986	A. Debourle	1967	Présence et signification paléoécologique d’un niveau à bryozoaires dans le Paléocène inférieur du sud de Pau	Bull. Cent. Rech. Pau	1	405-415
6987	D. Dean	1958	[effect of the xlline style of Cranostrea on algal cells]	Science	128	837
6988	J. de Porta, J. Martinell and J. Civis	1979	Datos paleontologicos y tafonomicos de la Formacion Turre en Cortijada de Arejos (Almeria)	Studia Geologica	15	63-83
6989	J. R. De Palma	1972	Fearless fouling forecasting	Proceedings of the 3rd International Congress on Marine Corrosion and Fouling		865-879
6990	J. R. De Palma	1969	Marine biofouling at Penobscot Bay, Maine and Placentia Sound, Newfoundland, 1060-1068	U. S. Naval Hydrographie Office, Informal Report		69-56
6991	J. R. De Palma	1966	A study of the marine fouling and boring organisms at Admiralty Inlet, Washington	U. S. Naval Oceanographic Office		1-14
6992	L. De Meester, A. Gómez, B. Okamura and K. Schwenk	2002	The Monopolization Hypothesis and the dispersal-gene flow paradox in aquatic organisms	Acta Oecologica	23	121-135
