name	author	rank
Euginoma duplex	(Wyville Thomson, 1858)	Species
Formosocellaria	(Wyville Thomson, 1858)	Genus
Formosocellaria abyssicola	(Wyville Thomson, 1858)	Species
Formosocellaria magnifica	(Wyville Thomson, 1858)	Species
Pseudocellaria	(Wyville Thomson, 1858)	Genus
Membranicellariidae	(Wyville Thomson, 1858)	Family
Farciminariidae	(Wyville Thomson, 1858)	Family
Nellia	(Wyville Thomson, 1858)	Genus
Nellia tenella	(Wyville Thomson, 1858)	Species
Nellia oculata	(Wyville Thomson, 1858)	Species
Bugulidae	Gray, 1848	Family
Bugula	Oken, 1815	Genus
Bugula turrita	Desor	Species
Bugula flabellata	(Wyville Thomson, 1858)	Species
Bugula flabellata acuminata	(Wyville Thomson, 1858)	Subspecies
Bugula flabellata flabellata	(Wyville Thomson, 1858)	Subspecies
Bugula pacifica	(Wyville Thomson, 1858)	Species
Bugula avicularia	(Linnaeus, 1758)	Species
Bugula neritina	(Linnaeus, 1758)	Species
Sertularia neritina	Linnaeus, 1758	Species
Bugula rylandi	(Wyville Thomson, 1858)	Species
Bugula fulva	(Wyville Thomson, 1858)	Species
Bugula grayi	(Wyville Thomson, 1858)	Species
Bugula marcusi	(Wyville Thomson, 1858)	Species
Bugula microoecia	(Wyville Thomson, 1858)	Species
Bugula plumosa	(Wyville Thomson, 1858)	Species
Bugula stolonifera	Ryland	Species
Bugula turbinata	(Wyville Thomson, 1858)	Species
Bugula johnstonae	(Gray)	Species
Bugula longirostrata	(Wyville Thomson, 1858)	Species
Bugula harmsworthi	Waters, 1900	Species
Bugula tricuspis	Kluge, 1915	Species
Bugula fastigata	Dalyell, 1847	Species
Bugula tschukotkensis	Kluge, 1952	Species
Bugula elongata	Norggaard, 1906	Species
Bugula calathus	Norman, 1868	Species
Dendrobeania	Levinsen, 1909	Genus
Dendrobeania murrayana	(Johnston, 1847)	Species
Bugula murrayana	(Wyville Thomson, 1858)	Species
Flustra murrayana	Johnston, 1847	Species
Dendrobeania multiseriata	(Wyville Thomson, 1858)	Species
Dendrobeania lichenoides	(Wyville Thomson, 1858)	Species
Dendrobeania curvirostrata	(Wyville Thomson, 1858)	Species
Dendrobeania pseudolevinseni	Kluge, 1952	Species
Dendrobeania levinseni	(Kluge, 1929)	Species
Dendrobeania laxa	(Robertson, 1905)	Species
Dendrobeania pseudomurrayana	Kluge, 1955	Species
Dendrobeania pseudomurrayana pseudomurrayana	Kluge, 1955	Subspecies
Dendrobeania pseudomurrayana tenuis	Kluge, 1955	Subspecies
Dendrobeania pseudomurrayana fessa	Kluge, 1955	Subspecies
Dendrobeania fruticosa	(Packard, 1863)	Species
Dendrobeania fruticosa fruticosa	(Packard, 1863)	Subspecies
Dendrobeania fruticosa quadridentata	(Loven, 1834)	Subspecies
Dendrobeania fruticosa frigida	(Waters, 1900)	Subspecies
Dendrobeania flustroides	(Levinsen, 1887)	Species
Dendrobeania murmanica	(Kluge, 1915)	Species
Caulibugula	(Wyville Thomson, 1858)	Genus
Caulibugula dendrograpta	(Wyville Thomson, 1858)	Species
Caulibugula pearsei	(Wyville Thomson, 1858)	Species
Caulibugula californica	(Robertson, 1905)	Species
Kinetoskias	Danielssen, 1868	Genus
Kinetoskias arborescens	Danielssen, 1868	Species
Kinetoskias smitti	Danielssen, 1868	Species
Kinetoskias mitsukurii	Yanagi and Okada, 1918	Species
Kinetoskias beringi	Kluge, 1953	Species
Bicellariellidae	(Wyville Thomson, 1858)	Family
Corynoporella	Hincks, 1888	Genus
Corynoporella spinosa	Robertson, 1905	Species
Corynoporella tenuis	Hincks, 1888	Species
Bicellariella	Levinsen, 1909	Genus
Bicellariella ciliata	(Linnaeus, 1758)	Species
Sertularia ciliata	Linnaeus, 1758	Species
Bicellarina	Levinsen, 1909	Genus
Bicellarina alderi	(Busk, 1859)	Species
Semibugula	Kluge, 1929	Genus
Semibugula birulai	Kluge, 1929	Species
Beaniidae	Canu and Bassler, 1927	Family
Beania	Johnston, 1840	Genus
Beania alaskensis	(Wyville Thomson, 1858)	Species
Scrupocellariidae	Levinsen, 1909	Family
Scrupocellaria	Van Beneden, 1845	Genus
Scrupocellaria scabra	(Van Beneden, 1848)	Species
Scrupocellaria scabra paenulata	Norman, 1903	Subspecies
Scrupocellaria scabra scabra	(Van Beneden, 1848)	Subspecies
Scrupocellaria bertholetti	(Wyville Thomson, 1858)	Species
Scrupocellaria regularis	(Wyville Thomson, 1858)	Species
Scrupocellaria scruposa	(Linnaeus, 1758)	Species
Sertularia scruposa	Linnaeus, 1758	Species
Scrupocellaria scrupea	(Wyville Thomson, 1858)	Species
Scrupocellaria diegensis	(Wyville Thomson, 1858)	Species
Scrupocellaria californica	Trask, 1857	Species
Scrupocellaria intermedia	Norman, 1893	Species
Scrupocellaria minor	Kluge, 1915	Species
Scrupocellaria arctica	(Busk, 1855)	Species
Caberea	Lamouroux, 1816	Genus
Caberea ellisii	(Fleming, 1818)	Species
Caberea boryi	Audouin, 1826	Species
Tricellaria	Fleming, 1828	Genus
Tricellaria ternata	(Ellis and Solander, 1786)	Species
Cellularia ternata	Ellis and Solander, 1786	Species
Tricellaria gracilis	(Van Beneden, 1848)	Species
Tricellaria gracilis gracilis	(Van Beneden, 1848)	Subspecies
Tricellaria gracilis inermis	Kluge, 1962	Subspecies
Tricellaria pribilofi	(Wyville Thomson, 1858)	Species
Tricellaria erecta	(Wyville Thomson, 1858)	Species
Tricellaria occidentalis	(Wyville Thomson, 1858)	Species
Tricellaria peachii	(Busk, 1851)	Species
Tricellaria praescuta	(Wyville Thomson, 1858)	Species
Notoplites	Harmer, 1923	Genus
Notoplites rostrata	Harmer, 1923	Species
Notoplites jeffreysii	(Norman, 1868)	Species
Notoplites sibirica	(Kluge, 1929)	Species
Notoplites smitti	(Norman, 1868)	Species
Notoplites normani	(Nordgaard, 1900)	Species
Bugulopsis	Verrill, 1879	Genus
Bugulopsis peachi	(Busk, 1851)	Species
Cellularia peachi	Busk, 1851	Species
Bugulopsis peachi peachi	(Busk, 1851)	Subspecies
Bugulopsis peachi beringia	Kluge, 1952	Subspecies
Epistomiidae	Gregory, 1893	Family
Synnotum	Pieper, 1881	Genus
Synnotum aegyptiacum	(Audouin, 1826)	Species
Cribrilinidae	Hincks, 1880	Family
Cribrilina	Gray, 1848	Genus
Cribrilina annulata	(Fabricius, 1780)	Species
Cribrilina punctata	(Hassall, 1841)	Species
Cribrilina radiata	(Wyville Thomson, 1858)	Species
Cribrilina spitzbergensis	Norman, 1903	Species
Cribrilina cryptooecium	Norman, 1903	Species
Cribrilina watersi	Andersson, 1902	Species
Cribrilina spiculifera	Kluge, 1955	Species
Membraniporella	Smitt, 1873	Genus
Membraniporella crassicosta	(Wyville Thomson, 1858)	Species
Membraniporella aragoi	(Wyville Thomson, 1858)	Species
Membraniporella nitida	(Johnston, 1838)	Species
Reginella	Jullien, 1886	Genus
Reginella spitsbergensis	(Wyville Thomson, 1858)	Species
Jullienula	(Wyville Thomson, 1858)	Genus
Jullienula hippocrepis	(Wyville Thomson, 1858)	Species
Cribrilaria	Canu and Bassler, 1929	Genus
Cribrilaria radiata	(Moll, 1803)	Species
Bellulopora	(Wyville Thomson, 1858)	Genus
Bellulopora bellula	(Wyville Thomson, 1858)	Species
Colletosia	(Wyville Thomson, 1858)	Genus
Colletosia radiata	(Wyville Thomson, 1858)	Species
Lyrula	(Wyville Thomson, 1858)	Genus
Lyrula hippocrepis	(Wyville Thomson, 1858)	Species
Gephyrotes	Norman, 1903	Genus
Gephyrotes nitidopunctata	(Smitt, 1868)	Species
Pelmatoporidae	(Wyville Thomson, 1858)	Family
Cupuladriidae	(Wyville Thomson, 1858)	Family
Sadkoidae	Kluge, 1962	Family
Uschakovia	Kluge, 1946	Genus
Uschakovia gorbunovi	Kluge, 1946	Species
Ascophora	Levinsen, 1909	Suborder
Ascophora	Levinsen, 1909	Suborder
Cyclicoporidae	(Wyville Thomson, 1858)	Family
Hippothoidae	Fischer, 1866	Family
Hippothoa	Lamouroux, 1821	Genus
Hippothoa hyalina	(Linnaeus, 1767)	Species
Hippothoa hyalina abstersa	(Linnaeus, 1767)	Subspecies
Hippothoa hyalina marcusi	(Wyville Thomson, 1858)	Subspecies
Hippothoa hyalina hyalina	(Linnaeus, 1767)	Subspecies
Hippothoa divaricata	Smitt, 1868	Species
Hippothoa divaricata divaricata	Smitt, 1868	Subspecies
Hippothoa divaricata arctica	Kluge, 1906	Subspecies
Hippothoa expansa	Dawson, 1859	Species
Hippothoa cornuta	(Wyville Thomson, 1858)	Species
Hippothoa flagellum	Manzoni, 1870	Species
Hippothoa santacruzana	(Wyville Thomson, 1858)	Species
Hippothoa planula	(Wyville Thomson, 1858)	Species
Hippothoa rugulosa	(Wyville Thomson, 1858)	Species
Hippothoa discreta	(Wyville Thomson, 1858)	Species
Hippothoa annularis	(Wyville Thomson, 1858)	Species
Hippothoa patagonica	(Wyville Thomson, 1858)	Species
Hippothoa muricata	(Wyville Thomson, 1858)	Species
Hippothoa delta	Ryland and Gordon, 1977	Species
Hippothoa delta parsimilis	(Wyville Thomson, 1858)	Subspecies
Hippothoa delta delta	(Wyville Thomson, 1858)	Subspecies
Hippothoa holostoma	(Wyville Thomson, 1858)	Species
Hippothoa tuberculata	(Wyville Thomson, 1858)	Species
Hippothoa meridionalis	(Wyville Thomson, 1858)	Species
Hippothoa aruensis	(Wyville Thomson, 1858)	Species
Hippothoa distans	Macgillivray, 1869	Species
Hippothoa minitumulosa	(Wyville Thomson, 1858)	Species
Hippothoa brasiliensis	(Wyville Thomson, 1858)	Species
Hippothoa trigemma	(Wyville Thomson, 1858)	Species
Hippothoa watersi	Morris, 1980	Species
Harmeria	Norman, 1903	Genus
Harmeria scutulata	(Busk, 1855)	Species
Lepralia scutulata	Busk, 1855	Species
Hincksipora	(Wyville Thomson, 1858)	Genus
Hincksipora spinulifera	(Wyville Thomson, 1858)	Species
Trypostega	(Wyville Thomson, 1858)	Genus
Trypostega venusta	(Wyville Thomson, 1858)	Species
Haplopoma	(Wyville Thomson, 1858)	Genus
Haplopoma impressum	(Wyville Thomson, 1858)	Species
Chorizopora	Hincks, 1879	Genus
Chorizopora brongniartii	(Audouin, 1826)	Species
Dacryoporella	(Wyville Thomson, 1858)	Genus
Dacryoporella gutta	(Wyville Thomson, 1858)	Species
Diplotresis	(Wyville Thomson, 1858)	Genus
Diplotresis sparsiporsa	(Wyville Thomson, 1858)	Species
Atacama	(Wyville Thomson, 1858)	Genus
Atacama foramina	(Wyville Thomson, 1858)	Species
Boreas	(Wyville Thomson, 1858)	Genus
Boreas voigti	(Wyville Thomson, 1858)	Species
Kronothoa	(Wyville Thomson, 1858)	Genus
Kronothoa dissoluta	(Wyville Thomson, 1858)	Species
Tecatia	(Wyville Thomson, 1858)	Genus
Tecatia minuta	(Wyville Thomson, 1858)	Species
Tecatia sinaloenis	(Wyville Thomson, 1858)	Species
Euthyroididae	(Wyville Thomson, 1858)	Family
Umbonulidae	(Wyville Thomson, 1858)	Family
Umbonula	Hincks, 1880	Genus
Umbonula patens	(Smitt, 1868)	Species
Umbonula arctica	(M. Sars, 1851)	Species
Umbonula littoralis	Hastings, 1944	Species
Umbonula verrucosa	(Esper, 1790)	Species
Lepralia verrucosa	Esper, 1790	Species
Umbonula inarmata	Kluge, 1962	Species
Petraliidae	(Wyville Thomson, 1858)	Family
Petraliella	(Wyville Thomson, 1858)	Genus
Petraliella bisinuata	(Wyville Thomson, 1858)	Species
Hippopetraliella bisinuata	(Wyville Thomson, 1858)	Species
Hippopetraliella marginata	(Wyville Thomson, 1858)	Species
Petraliella marginata	(Wyville Thomson, 1858)	Species
Gigantoporidae	Bassler, 1935	Family
Cylindroporella	Hincks, 1877	Genus
Cylindroporella tubulosa	(Norman, 1868)	Species
Porina tubulosa	(Norman, 1868)	Species
Lepralia tubulosa	Norman, 1868	Species
Tessaradoma	Norman, 1869	Genus
Tessaradoma gracile	(M. Sars, 1851)	Species
Stomachetosellidae	Canu and Bassler, 1917	Family
Stomachetosella	Canu and Bassler, 1917	Genus
Stomachetosella sinuosa	(Busk, 1860)	Species
Lepralia sinuosa	Busk, 1860	Species
Stomachetosella cruenta	(Busk, 1854)	Species
Stomachetosella distincta	(Wyville Thomson, 1858)	Species
Stomachetosella hincksi	(Wyville Thomson, 1858)	Species
Stomachetosella producta	(Packard, 1863)	Species
Stomachetosella collaris	(Kluge, 1946)	Species
Posterula	(Wyville Thomson, 1858)	Genus
Posterula sarsi	(Wyville Thomson, 1858)	Species
Ragionula	(Wyville Thomson, 1858)	Genus
Ragionula rosacea	(Wyville Thomson, 1858)	Species
Pachyegis	(Wyville Thomson, 1858)	Genus
Pachyegis princeps	(Wyville Thomson, 1858)	Species
Pachyegis brunnea	(Wyville Thomson, 1858)	Species
Cigclisula	(Wyville Thomson, 1858)	Genus
Cigclisula serrulata	(Wyville Thomson, 1858)	Species
Cigclisula turrita	(Wyville Thomson, 1858)	Species
Cigclisula pertusa	(Wyville Thomson, 1858)	Species
Schizoporellidae	Jullien, 1883	Family
Schizoporella	Hincks, 1877	Genus
Schizoporella unicornis	(Johnston, 1874)	Species
Lepralia unicornis	Johnston, 1874	Species
Schizoporella linearis	(Wyville Thomson, 1858)	Species
Schizoporella linearis inarmata	(Wyville Thomson, 1858)	Subspecies
Schizoporella linearis linearis	(Wyville Thomson, 1858)	Subspecies
Schizoporella cornuta	(Wyville Thomson, 1858)	Species
Schizoporella biaperta	(Michelin, 1841)	Species
Schizoporella errata	Waters	Species
Schizoporella floridana	(Wyville Thomson, 1858)	Species
Schizoporella crustacea	(Smitt, 1868)	Species
Schizoporella costata	Kluge, 1962	Species
Schizoporella bispinosus	Nordgaard, 1906	Species
Schizoporella elmwoodiae	Waters, 1900	Species
Schizoporella elmwoodiae elmwoodiae	Waters, 1900	Subspecies
Schizoporella elmwoodiae mamillata	Kluge, 1962	Subspecies
Schizoporella alderi	(Busk, 1856)	Species
Schizoporella auriculata	(Hassall, 1842)	Species
Schizoporella auriculata auriculata	(Hassall, 1842)	Subspecies
Schizoporella auriculata lineata	(Nordgaard, 1896)	Subspecies
Schizoporella porifera	(Smitt, 1868)	Species
Schizoporella ortmanni	Kluge, 1955	Species
Schizoporella magniporata	Nordgaard, 1906	Species
Schizoporella pachystega	Kluge, 1929	Species
Schizoporella incerta	Kluge, 1929	Species
Schizoporella limbata	Lorenz, 1886	Species
Schizoporella stylifera	(Levinsen, 1887)	Species
Schizoporella stylifera stylifera	(Levinsen, 1887)	Subspecies
Schizoporella stylifera perforata	Kluge, 1952	Subspecies
Schizoporella hexagona	Nordgaard, 1905	Species
Schizoporella smitti	Kluge, 1962	Species
Schizoporella thompsoni	Kluge, 1962	Species
Emballotheca	Levinsen, 1909	Genus
Emballotheca stylifera	(Wyville Thomson, 1858)	Species
Dakaria	(Wyville Thomson, 1858)	Genus
Dakaria dawsoni	(Wyville Thomson, 1858)	Species
Schizomavella	Canu and Bassler, 1917	Genus
Schizomavella auriculata	(Hassall, 1842)	Species
Schizomavella auriculata ochracea	(Hincks, 1880)	Subspecies
Schizomavella auriculata auriculata	(Hassall, 1842)	Subspecies
Schizomavella porifera	(Wyville Thomson, 1858)	Species
Schizomavella linearis	(Wyville Thomson, 1858)	Species
Hippodiplosia	Canu, 1916	Genus
Hippodiplosia reticulatopunctata	(Hincks, 1877)	Species
Hippodiplosia insculpta	(Wyville Thomson, 1858)	Species
Hippodiplosia cancellata	(Wyville Thomson, 1858)	Species
Hippodiplosia pertusa	(Esper, 1797)	Species
Cellepora pertusa	Esper, 1797	Species
Hippodiplosia propinqua	(Smitt, 1868)	Species
Hippodiplosia murdochi	Kluge, 1963	Species
Hippodiplosia obesa	(Waters, 1900)	Species
Hippodiplosia tchukotkensis	Kluge, 1952	Species
Hippodiplosia borealis	(Waters, 1900)	Species
Hippodiplosia harmsworthi	(Waters, 1900)	Species
Hippodiplosia ussowi	(Kluge, 1908)	Species
Arthropoma	Levinsen, 1909	Genus
Arthropoma cecilii	(Audouin, 1826)	Species
Cleidochasma	Harmer, 1957	Genus
Cleidochasma porcellanum	(Busk, 1860)	Species
Cleidochasma contractum	(Wyville Thomson, 1858)	Species
Cycloporiella	(Wyville Thomson, 1858)	Genus
Cycloporiella rubra	(Wyville Thomson, 1858)	Species
Stylopoma	(Wyville Thomson, 1858)	Genus
Stylopoma informata	(Wyville Thomson, 1858)	Species
Stylopoma spongites	(Wyville Thomson, 1858)	Species
Escharina	Milne-Edwards, 1836	Genus
Escharina porosa	(Wyville Thomson, 1858)	Species
Escharina vulgaris	(Moll, 1803)	Species
Escharina pesanseris	(Smitt, 1873)	Species
Hippoporinidae	(Wyville Thomson, 1858)	Family
Hippoporella	(Wyville Thomson, 1858)	Genus
Hippoporella hippopus	(Wyville Thomson, 1858)	Species
Hippoporella ulvlifera	(Wyville Thomson, 1858)	Species
Stephanosella	(Wyville Thomson, 1858)	Genus
Stephanosella biaperta	(Wyville Thomson, 1858)	Species
Lepralia	(Wyville Thomson, 1858)	Genus
Lepralia americana	(Wyville Thomson, 1858)	Species
Lepralia serrata	(Wyville Thomson, 1858)	Species
Lepralia pallisiana	(Wyville Thomson, 1858)	Species
Hippopleurifera	(Wyville Thomson, 1858)	Genus
Hippopleurifera mucronata	(Wyville Thomson, 1858)	Species
Hippoporina	Neviani, 1895	Genus
Hippoporina contracta	(Wyville Thomson, 1858)	Species
Hippoporina verrilli	Maturo and Schopf	Species
Hippoporina americana	Verrill	Species
Hippoporidra	(Wyville Thomson, 1858)	Genus
Hippoporidra calcarea	(Wyville Thomson, 1858)	Species
Hippoporidra edax	(Wyville Thomson, 1858)	Species
Hippoporidra janthina	(Wyville Thomson, 1858)	Species
Hipporina	(Wyville Thomson, 1858)	Genus
Pentapora	(Wyville Thomson, 1858)	Genus
Pentapora foliacea	(Wyville Thomson, 1858)	Species
Exochellidae	Bassler, 1935	Family
Escharoides	Milne-Edwards, 1836	Genus
Escharoides jacksoni	(Waters, 1900)	Species
Escharoides jacksoni jacksoni	(Waters, 1900)	Subspecies
Escharoides jacksoni rostrata	(Kluge, 1946)	Subspecies
Escharoides coccinea	(Abildgaard, 1806)	Species
Cellepora coccinea	Abildgaard, 1806	Species
Escharoides bidenkapi	(Kluge, 1946)	Species
Escharoides monstruosa	(Kluge, 1946)	Species
Exochella	Jullien, 1888	Genus
Exochella longirostris	Jullien, 1888	Species
Microporellidae	Hincks, 1879	Family
Microporella	Hincks, 1877	Genus
Microporella ciliata	(Pallas, 1766)	Species
Eschara ciliata	Pallas, 1766	Species
Microporella ciliata stellata	(Wyville Thomson, 1858)	Subspecies
Microporella ciliata ciliata	(Pallas, 1766)	Subspecies
Microporella arctica	Norman, 1903	Species
Microporella vibraculifera	(Wyville Thomson, 1858)	Species
Microporella cribosa	(Wyville Thomson, 1858)	Species
Microporella californica	(Wyville Thomson, 1858)	Species
Microporella marsupiata	(Wyville Thomson, 1858)	Species
Microporella umbraeula	(Wyville Thomson, 1858)	Species
Microporella impressa	(Audouin, 1826)	Species
Microporella malusii	(Audouin, 1826)	Species
Fenestrulina	Jullien, 1888	Genus
Fenestrulina malusii	(Audouin, 1826)	Species
Fenestrulina malusii umbonata	(Wyville Thomson, 1858)	Subspecies
Fenestrulina malusii malusii	(Wyville Thomson, 1858)	Subspecies
Eurystomellidae	Levinsen, 1909	Family
Eurystomella	Levinsen, 1909	Genus
Eurystomella bilabiata	(Hincks)	Species
Mucronellidae	(Wyville Thomson, 1858)	Family
Porella	Gray, 1848	Genus
Porella	Gray, 1848	Genus
Porella reduplicata	(Wyville Thomson, 1858)	Species
Porella compressa	(Sowerby, 1806)	Species
Millepora compressa	Sowerby, 1806	Species
Porella acutirostris	Smitt, 1868	Species
Porella porifera	(Wyville Thomson, 1858)	Species
Porella concinna	Lorenz, 1886	Species
Porella patens	(Wyville Thomson, 1858)	Species
Porella sacata	(Busk, 1856)	Species
Porella sacata sacata	(Busk, 1856)	Subspecies
Porella sacata beringia	Kluge, 1929	Subspecies
Porella minuta	(Norman, 1868)	Species
Porella smitti	Kluge, 1907	Species
Porella struma	(Norman, 1868)	Species
Porella aperta	(Boeck, 1862)	Species
Porella tumida	Kluge, 1955	Species
Porella groenlandica	Norman, 1894	Species
Porella princeps	Norman, 1903	Species
Porella proboscidea	Hincks, 1888	Species
Porella plana	Hincks, 1888	Species
Porella laevis	(Fleming, 1828)	Species
Smittina	Norman, 1903	Genus
Smittina landsborovii	(Johnston, 1847)	Species
Smittina arctica	(Wyville Thomson, 1858)	Species
Smittina retifrons	(Wyville Thomson, 1858)	Species
Smittina bella	(Wyville Thomson, 1858)	Species
Smittina altirostris	(Wyville Thomson, 1858)	Species
Smittina smittiella	(Wyville Thomson, 1858)	Species
Smittina majuscula	(Smitt, 1868)	Species
Smittina rigida	(Lorenz, 1886)	Species
Smittina reticulata	(Macgillivray, 1842)	Species
Lepralia reticulata	Macgillivray, 1842	Species
Smittina minuscula	(Smitt, 1868)	Species
Smittina peristomata	(Nordgaard, 1905)	Species
Smittina glaciata	(Waters, 1900)	Species
Smittina mucronata	(Smitt, 1868)	Species
Smittina concinna	(Busk, 1854)	Species
Smittina concinna concinna	(Busk, 1854)	Subspecies
Smittina concinna belli	(Dawson, 1859)	Subspecies
Smittina pseudoacutirostris	Gostilovskaya, 1957	Species
Smittina muliebris	Kluge, 1962	Species
Smittina smitti	(Kirchenpauer, 1874)	Species
Smittina tuberosa	Kluge, 1952	Species
Smittina beringia	Kluge, 1952	Species
Smittina trispinosa	(Johnston, 1838)	Species
Smittina jeddreysi	Norman, 1903	Species
Smittina thompsoni	Kluge, 1955	Species
Parasmittina	Osburn, 1952	Genus
Parasmittina trispinosa	(Wyville Thomson, 1858)	Species
Parasmittina jeffreysi	(Norman, 1876)	Species
Parasmittina alaskensis	(Wyville Thomson, 1858)	Species
Parasmittina nitida	(Wyville Thomson, 1858)	Species
Parasmittina spathulata	(Wyville Thomson, 1858)	Species
Parasmittina crosslandi	(Wyville Thomson, 1858)	Species
Rhamphostomella	Lorenz, 1886	Genus
Rhamphostomella costata	Lorenz, 1886	Species
Rhamphostomella costata costata	Lorenz, 1886	Subspecies
Rhamphostomella costata cristata	Hincks, 1889	Subspecies
Rhamphostomella fortissima	(Wyville Thomson, 1858)	Species
Rhamphostomella bilaminata	(Hincks, 1877)	Species
Rhamphostomella bilaminata bilaminata	(Hincks, 1877)	Subspecies
Rhamphostomella bilaminata sibirica	Kluge, 1929	Subspecies
Rhamphostomella hincksi	Nordgaard, 1906	Species
Rhamphostomella spinigera	Lorenz, 1886	Species
Rhamphostomella ovata	(Smitt, 1868)	Species
Rhamphostomella gigantea	(Wyville Thomson, 1858)	Species
Rhamphostomella radiatula	(Hincks, 1977)	Species
Rhamphostomella scabra	(Fabricius, 1780)	Species
Eschara scabra	Fabricius, 1780	Species
Rhamphostomella plicata	(Smitt, 1868)	Species
Cystisella	(Wyville Thomson, 1858)	Genus
Cystisella saccata	(Wyville Thomson, 1858)	Species
Cystisella bicornis	(Wyville Thomson, 1858)	Species
Hemicyclopora	Norman, 1894	Genus
Hemicyclopora polita	(Norman, 1864)	Species
Lepralia polita	Norman, 1864	Species
Hemicyclopora emucronata	(Smitt, 1872)	Species
Escharopsis	Verrill, 1880	Genus
Escharopsis sarsi	(Smitt, 1868)	Species
Escharopsis rosacea	(Busk, 1856)	Species
Tubucellariidae	(Wyville Thomson, 1858)	Family
Reteporidae	Smitt, 1868	Family
Sertellidae	Jullien, 1903	Family
Lepraliella	Levinsen, 1917	Genus
Lepraliella contigua	(Smitt, 1868)	Species
Cellepora ramulosa contigua	Smitt, 1868	Subspecies
Rhynchozoon	Hincks, 1895	Genus
Rhynchozoon bispinosum	(Johnston, 1847)	Species
Rhynchozoon rostratum	Busk	Species
Rhynchozoon tuberculatum	(Wyville Thomson, 1858)	Species
Rhynchozoon spicatum	(Wyville Thomson, 1858)	Species
Phidolopora	Gabb and Horn, 1862	Genus
Phidolopora pacifica	(Wyville Thomson, 1858)	Species
Schizotheca	(Wyville Thomson, 1858)	Genus
Schizotheca fissa	(Wyville Thomson, 1858)	Species
Sertella	Jullien, 1903	Genus
Sertella beaniana	(King, 1846)	Species
Sertella marsupiata	(Wyville Thomson, 1858)	Species
Reteporellina	(Wyville Thomson, 1858)	Genus
Reteporellina evelinae	(Wyville Thomson, 1858)	Species
Retepora	Lamarck, 1801	Genus
Retepora cellulosa	(Linnaeus, 1758)	Species
Retepora reticulata	Lamarck, 1801	Species
Retepora elongata	Smitt, 1868	Species
Retepora beaniana	King, 1846	Species
Retepora beaniana beaniana	King, 1846	Subspecies
Retepora beaniana watersi	Nordgaard, 1907	Subspecies
Adeonidae	Busk, 1884	Family
Bracebridgia	(Wyville Thomson, 1858)	Genus
Bracebridgia subsulcata	(Wyville Thomson, 1858)	Species
Reptadeonella	(Wyville Thomson, 1858)	Genus
Reptadeonella violacea	(Julien, 1903)	Species
Adeonellopsis	Macgillivray, 1886	Genus
Adeonellopsis tuberculata	(Busk, 1854)	Species
Adeonellopsis lichenoides	Busk, 1854	Species
Cheiloporinidae	(Wyville Thomson, 1858)	Family
Cryptosula	(Wyville Thomson, 1858)	Genus
Cryptosula pallasiana	(Wyville Thomson, 1858)	Species
Hippaliosina	(Wyville Thomson, 1858)	Genus
Hippaliosina rostrigera	(Wyville Thomson, 1858)	Species
Tetraplaria	(Wyville Thomson, 1858)	Genus
Tetraplaria dichotoma	(Wyville Thomson, 1858)	Species
Parmulariidae	(Wyville Thomson, 1858)	Family
Phylactelliporidae	(Wyville Thomson, 1858)	Family
Phylactellidae	Canu and Bassler, 1930	Family
Lagenipora	Hincks, 1877	Genus
Lagenipora spinulosa	(Wyville Thomson, 1858)	Species
Lagenipora socialis	(Wyville Thomson, 1858)	Species
Crepidacanthidae	Levinsen, 1909	Family
Crepidacantha	Levinsen, 1909	Genus
Crepidacantha setigera	(Wyville Thomson, 1858)	Species
Crepidacantha poissoni	(Wyville Thomson, 1858)	Species
Crepidacantha poissoni teres	(Wyville Thomson, 1858)	Subspecies
Crepidacantha poissoni poissoni	(Wyville Thomson, 1858)	Subspecies
Celleporidae	Lamouroux, 1821	Family
Celleporinidae	(Wyville Thomson, 1858)	Family
Costazia	(Wyville Thomson, 1858)	Genus
Costazia nordenskjoldi	(Wyville Thomson, 1858)	Species
Costazia surcularis	(Wyville Thomson, 1858)	Species
Costazia ventricosa	(Wyville Thomson, 1858)	Species
Costazia robertsoniae	(Wyville Thomson, 1858)	Species
Costazia procumbens	(Wyville Thomson, 1858)	Species
Costazia ignota	(Wyville Thomson, 1858)	Species
Omalosecosa	Canu and Bassler, 1925	Genus
Omalosecosa ramulosa	(Linnaeus, 1767)	Species
Turbicellepora	(Wyville Thomson, 1858)	Genus
Turbicellepora dichotoma	(Wyville Thomson, 1858)	Species
Turbicellepora canaliculata	(Wyville Thomson, 1858)	Species
Celleporina	Gray, 1848	Genus
Celleporina hassallii	(Johnston, 1847)	Species
Trematoecia	(Wyville Thomson, 1858)	Genus
Trematoecia turrita	(Wyville Thomson, 1858)	Species
Buskea	Heller, 1867	Genus
Buskea dichotoma	(Hincks, 1862)	Species
Cellepora	Linnaeus, 1767	Genus
Cellepora nordenskjoldi	Kluge, 1929	Species
Cellepora surcularis	(Packard, 1863)	Species
Cellepora ventricosa	Lorenz, 1886	Species
Cellepora smitti	Kluge, 1962	Species
Cellepora nodulosa	Lorenz, 1886	Species
Cellepora pumicosa	Linnaeus, 1767	Species
Cellepora canaliculata	Busk, 1886	Species
Cellepora avicularis	Hincks, 1880	Species
Cellepora ramulosa	Linnaeus, 1767	Species
Pasytheidae	Vigneaux, 1949	Family
Catenicellidae	Busk, 1852	Family
